recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,treatment,cond,random_number
6,3) $200 - $350,329.08,1,1,Rural,1,Web,No E-Mail,0,0,0,0,TRUE,0.2655086631421
9,5) $500 - $750,675.83,1,0,Rural,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.37212389963679016
9,5) $500 - $750,675.07,1,1,Rural,1,Phone,Mens E-Mail,0,0,0,1,TRUE,0.5728533633518964
2,2) $100 - $200,101.64,0,1,Urban,0,Web,Mens E-Mail,1,0,0,1,TRUE,0.9082077899947762
4,3) $200 - $350,241.42,0,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,TRUE,0.2016819310374558
5,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0,1,TRUE,0.9446752686053514
5,"6) $750 - $1,000",828.42,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.061786270467564464
9,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,FALSE,0.20597457489930093
11,2) $100 - $200,182.32,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0,1,FALSE,0.17655675252899528
2,2) $100 - $200,118.4,1,0,Surburban,0,Web,Mens E-Mail,1,0,0,1,TRUE,0.6870228466577828
2,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,TRUE,0.384103718213737
6,2) $100 - $200,139.87,0,1,Rural,1,Web,Mens E-Mail,0,0,0,1,FALSE,0.49769924208521843
7,4) $350 - $500,435.73,0,1,Urban,1,Web,No E-Mail,0,0,0,0,TRUE,0.3800351794343442
9,3) $200 - $350,334.24,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,TRUE,0.9347052311059088
6,2) $100 - $200,128.01,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,FALSE,0.21214252128265798
1,5) $500 - $750,514.52,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.12555509596131742
4,"6) $750 - $1,000",766.47,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.26722066872753203
7,5) $500 - $750,520.43,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.3861140925437212
11,3) $200 - $350,236.97,1,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,FALSE,0.013390333158895373
3,1) $0 - $100,99.23,1,0,Rural,0,Web,Mens E-Mail,1,0,0,1,TRUE,0.3823879570700228
1,1) $0 - $100,48.32,0,1,Urban,0,Web,No E-Mail,0,0,0,0,TRUE,0.3403489966876805
10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.48208011547103524
1,5) $500 - $750,729.7,1,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,TRUE,0.4935413070488721
3,3) $200 - $350,203.3,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,TRUE,0.1862176014110446
12,2) $100 - $200,150.06,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,FALSE,0.10794362588785589
6,1) $0 - $100,42.66,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,FALSE,0.723710946040228
3,5) $500 - $750,549.29,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0,0,TRUE,0.4112744296435267
9,5) $500 - $750,506.83,1,0,Rural,1,Multichannel,Mens E-Mail,0,0,0,1,TRUE,0.8209462941158563
