id,score,study,motiv,offer
1,88,13.3,58.6,1
2,68.8,10,33.4,0
3,84.9,8,80,1
4,69.6,10.3,40.3,1
5,81.7,13,80.1,1
6,75.4,10,47.8,1
7,55,10.3,41.6,0
8,61.6,7,22.7,0
9,77.8,9,57.6,1
10,59.8,4.7,23.9,1
11,81.9,11.7,65.7,0
12,82.4,15,56.2,1
13,67.1,9,31.9,1
14,81.5,11.3,19.3,0
15,52.7,6.3,22.8,1
16,63.9,7.3,46.3,1
17,77.8,8.3,33.1,1
18,81.6,10.7,64.7,1
19,73.8,8.7,57.2,1
20,77.1,8.7,67.3,1
21,78.6,9.3,52.7,1
22,75.2,9.3,78.6,0
23,79.1,15.3,74.1,1
24,81.8,9,62,0
25,73.7,6.7,56.8,1
26,56.4,10.7,50.1,1
27,74.1,10.7,35.3,0
28,55.4,3.3,24.7,0
29,54.2,7.7,30.2,0
30,56.2,5.7,30.6,1
31,61.7,5,57.5,1
32,91,12.3,71.8,1
33,85.1,11.7,47,1
34,88.4,10.7,72.3,1
35,63.4,8.7,26.1,0
36,65.7,5.3,62.3,1
37,55.3,4.3,18.5,0
38,85,11.7,54,0
39,67.3,8,29,1
40,78.1,11,66.5,0
41,63.8,5.7,41.7,1
42,57,7.3,28.2,0
43,84.3,14.3,58.1,1
44,83.8,11.3,50.9,1
45,68.7,9.3,25.7,0
46,72.5,10,42.8,1
47,87.9,14.3,54,0
48,94.5,16.3,89.1,1
49,83.6,9.3,53.3,1
50,67.6,7.7,57.7,1
51,90.5,14.7,74.8,1
52,71.9,10.7,25.8,0
53,81.1,12,57.9,1
54,80.7,9,52.7,1
55,93.8,14.7,61,1
56,73,10.3,44.8,1
57,85.2,9,50.5,1
58,69.1,9,55.1,0
59,66.6,7.7,54,1
60,88.8,12.3,60.3,1
61,92,14.7,74.1,1
62,82.7,13,54.7,0
63,79.3,13.3,63.3,0
64,64.6,7.7,43.1,0
65,91.5,13,67.9,1
66,47.4,3,23.8,1
67,89.7,9.7,46.6,1
68,61.7,8,59.5,1
69,86.8,13.7,74.7,1
70,62.4,4.7,43.4,0
71,85.3,13.7,52.7,0
72,70.2,11,54.4,1
73,93.1,15,55.5,0
74,71.9,8.3,59.4,1
75,77.6,10,33.3,1
76,70.5,4.7,31.4,1
77,63.2,8.3,39.4,0
78,68.8,7,47,1
79,68.1,11,67.3,1
80,77.1,10.3,61,0
81,78.3,6.7,72.3,0
82,86.6,8,40.7,1
83,77.2,13,39.2,1
84,85.4,13.3,61.5,1
85,83,14.3,54.8,1
86,78.6,11.3,63.1,1
87,80,11,66.2,1
88,84.8,15,63.6,1
89,94.1,12.3,60.5,1
90,89.5,9.3,59.5,1
91,97.3,17.3,76.1,1
92,46.7,4.7,30.4,0
93,72.6,8.3,40.6,0
94,66.8,4,40,0
95,73.7,10,59,1
96,70.8,9.3,50.9,0
97,83.7,7.3,58,1
98,88.1,10.7,56.2,1
99,57.6,4,30.8,0
100,77.1,10.3,60,1
